Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
Albert Einstein,UK,Physics,140,Theory of Evolution,1966,Male,Bohr Model,Two Nobel Prizes,Ph.D. in Physics,Iconic Renaissance artist and inventor
Albert Einstein,France,Polymath,140,Cosmos Series,1962,Female,Vitruvian Man,Royal Medal,Ph.D. in Astronomy,Foundation of classical mechanics
Galileo Galilei,UK,Polymath,136,"Mona Lisa, The Last Supper, Inventions",1938,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Isaac Newton,USA,Physics,151,Electromagnetic Theory,1934,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Mathematics,Discovery of electromagnetic induction
Michael Faraday,UK,Physics,166,Wave Equation,1958,Male,Feynman Lectures,N/A,Ph.D. (honorary),Laid the groundwork for modern computing
Carl Sagan,Denmark,Physics,182,Quantum Mechanics,1911,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Astronomy,Pioneering research in radioactivity
Carl Sagan,USA,Physics,181,Wave Equation,1976,Male,On Computable Numbers,N/A,Ph.D. in Astronomy,Revolutionized modern physics
Richard Feynman,UK,Astronomy,171,"Mona Lisa, The Last Supper, Inventions",1973,Male,Notes on the Analytical Engine,Royal Medal,Ph.D. in Physics,Iconic Renaissance artist and inventor
James Clerk Maxwell,UK,Physics,145,Theory of Evolution,1913,Female,Quantum Theory,Two Nobel Prizes,Ph.D. in Mathematics,Early pioneer of computer science
Marie Curie,UK,Physics,139,General Theory of Relativity,1984,Female,Feynman Lectures,N/A,Ph.D.,Foundational work in quantum mechanics
Enrico Fermi,UK,Mathematics,185,Nuclear Reactor,1914,Female,E=mc²,N/A,Ph.D. in Physics,Foundation of classical mechanics
Nikola Tesla,UK,Mathematics,181,Quantum Mechanics,1952,Male,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Chemistry,Unified theory of electromagnetism
Max Planck,UK,Physics,147,Wave Equation,1998,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Foundation of classical mechanics
Max Planck,Italy,Astronomy,199,"Mona Lisa, The Last Supper, Inventions",1987,Male,On the Origin of Species,N/A,Ph.D. in Chemistry,Popularizing science and cosmology
Galileo Galilei,USA,Chemistry,130,Electromagnetic Theory,1970,Male,Bohr Model,N/A,Ph.D.,Contributions to cosmology and quantum gravity
Nikola Tesla,Denmark,Physics,143,Electromagnetic Theory,1915,Female,Various Patents,Numerous Honors,Self-taught,Foundational work in quantum mechanics
Galileo Galilei,USA,Mathematics,169,Discovery of Radium and Polonium,1905,Male,Various Patents,Nobel Prize,University of Cambridge,Contributions to cosmology and quantum gravity
Ada Lovelace,Italy,Chemistry,177,Heliocentric Theory,1941,Male,Feynman Lectures,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Marie Curie,Denmark,Mathematics,145,"AC Electricity, Tesla Coil",1942,Female,On the Origin of Species,Numerous Posthumous,University of Cambridge,Iconic Renaissance artist and inventor
Marie Curie,UK,Astronomy,159,Father of Computer Science,1926,Female,Quantum Theory,Nobel Prize,Ph.D. in Astronomy,Foundational work in quantum mechanics
Roger Penrose,Germany,Physics,178,Cosmos Series,1913,Male,E=mc²,N/A,Self-taught,Foundation of classical mechanics
Albert Einstein,UK,Physics,174,"AC Electricity, Tesla Coil",1962,Male,On the Origin of Species,N/A,University of Pisa,Foundational work in quantum mechanics
Niels Bohr,France,Physics,149,Quantum Electrodynamics,1921,Male,Various Patents,N/A,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Richard Feynman,UK,Mathematics,147,Nuclear Reactor,1928,Male,On the Origin of Species,Nobel Prize,Ph.D. in Mathematics,Unified theory of electromagnetism
Alan Turing,UK,Engineering,134,Electromagnetic Theory,1904,Female,E=mc²,Two Nobel Prizes,Ph.D. (honorary),Evolutionary biology pioneer
Richard Feynman,Italy,Physics,193,Electromagnetic Induction,1972,Female,Schrödinger Equation,Numerous Honors,Ph.D. in Physics,Foundational work in quantum mechanics
Charles Darwin,Germany,Mathematics,189,General Theory of Relativity,1904,Male,E=mc²,Pulitzer Prize,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Richard Feynman,France,Physics,175,Electromagnetic Induction,1957,Female,Fermi Paradox,Pulitzer Prize,Ph.D. in Astronomy,Foundational work in quantum mechanics
Richard Feynman,Italy,Physics,134,Laws of Motion,1936,Female,Penrose Diagram,Copley Medal,Ph.D. in Physics,Laid the groundwork for modern computing
Paul Dirac,UK,Mathematics,176,Theory of Relativity,1956,Female,E=mc²,Nobel Prize,Ph.D. in Mathematics,Foundation of classical mechanics
Richard Feynman,UK,Physics,135,"Mona Lisa, The Last Supper, Inventions",1967,Female,Bohr Model,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Nikola Tesla,UK,Physics,194,Wave Equation,1996,Female,Schrödinger Equation,Nobel Prize,Ph.D.,Foundational work in quantum mechanics
Max Planck,UK,Chemistry,169,"AC Electricity, Tesla Coil",1965,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Mathematics,Pioneering research in radioactivity
Nikola Tesla,UK,Mathematics,150,Discovery of Radium and Polonium,1927,Male,Schrödinger Equation,Nobel Prize,University of Cambridge,Foundational work in quantum mechanics
Paul Dirac,USA,Physics,161,First computer algorithm,1937,Male,Bohr Model,Numerous Posthumous,Ph.D. in Astronomy,Penrose's work on black holes and cosmology
Enrico Fermi,UK,Mathematics,184,Electromagnetic Induction,1906,Male,Theory of Electromagnetism,N/A,Ph.D. (honorary),Quantum electrodynamics and physics teaching
Erwin Schrödinger,France,Chemistry,198,Theory of Relativity,1931,Male,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Evolutionary biology pioneer
Ada Lovelace,Denmark,Polymath,170,Father of Computer Science,1984,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Leonardo da Vinci,Italy,Mathematics,198,"Mona Lisa, The Last Supper, Inventions",1972,Female,On the Origin of Species,Nobel Prize,Self-taught,Quantum electrodynamics and physics teaching
Isaac Newton,UK,Mathematics,186,Quantum Electrodynamics,1973,Male,Cosmos,Copley Medal,Self-taught,Early pioneer of computer science
Roger Penrose,USA,Mathematics,139,Quantum Mechanics,1911,Female,Feynman Lectures,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Albert Einstein,Italy,Physics,182,Cosmos Series,1956,Female,Quantum Theory,N/A,Ph.D. in Physics,Evolutionary biology pioneer
Michael Faraday,Austria,Physics,144,Quantum Mechanics,1946,Male,Notes on the Analytical Engine,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Enrico Fermi,Italy,Physics,165,Electromagnetic Theory,1912,Male,Schrödinger Equation,Royal Medal,University of Pisa,Quantum electrodynamics and physics teaching
Richard Feynman,France,Physics,195,Theory of Evolution,1904,Male,Dirac Equation,Numerous Honors,Ph.D. in Physics,Revolutionized modern physics
Richard Feynman,USA,Biology,130,Electromagnetic Theory,1970,Female,Schrödinger Equation,Nobel Prize,University of Pisa,Major advancements in astronomy
Albert Einstein,UK,Mathematics,199,Heliocentric Theory,1939,Female,Feynman Lectures,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Enrico Fermi,UK,Physics,171,"Mona Lisa, The Last Supper, Inventions",1991,Male,On the Origin of Species,Pulitzer Prize,Ph.D. in Physics,Iconic Renaissance artist and inventor
Richard Feynman,UK,Physics,187,Black Hole Theory,1987,Male,Dirac Equation,Nobel Prize,Ph.D. in Mathematics,Pioneering research in radioactivity
Charles Darwin,Germany,Mathematics,170,"Mona Lisa, The Last Supper, Inventions",1932,Female,Fermi Paradox,Nobel Prize,Ph.D. in Chemistry,Discovery of electromagnetic induction
Enrico Fermi,UK,Biology,137,Black Hole Theory,1987,Female,On the Origin of Species,N/A,Ph.D.,Early pioneer of computer science
Enrico Fermi,Denmark,Chemistry,152,Cosmos Series,1990,Female,Theory of Electromagnetism,N/A,Ph.D. in Physics,Revolutionized modern physics
Alan Turing,UK,Physics,187,Father of Computer Science,1991,Female,Discovery of Electromagnetic Induction,N/A,Self-taught,Unified theory of electromagnetism
Ada Lovelace,Italy,Physics,193,Quantum Theory,1916,Female,Schrödinger Equation,Nobel Prize,Ph.D. in Chemistry,Popularizing science and cosmology
Richard Feynman,UK,Chemistry,167,Wave Equation,1968,Female,On the Origin of Species,Nobel Prize,Ph.D. (honorary),Inventor and electrical engineering pioneer
Erwin Schrödinger,Italy,Engineering,176,General Theory of Relativity,1976,Female,Discovery of Electromagnetic Induction,Royal Medal,Ph.D. in Mathematics,Popularizing science and cosmology
Richard Feynman,Italy,Mathematics,160,Quantum Mechanics,1951,Male,Quantum Theory,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Paul Dirac,USA,Physics,177,Laws of Motion,1970,Female,Penrose Diagram,Nobel Prize,Self-taught,Foundational work in quantum mechanics
Albert Einstein,UK,Physics,139,Quantum Electrodynamics,1975,Female,Vitruvian Man,N/A,Ph.D.,Quantum electrodynamics and physics teaching
Leonardo da Vinci,Austria,Physics,192,Discovery of Radium and Polonium,1960,Male,Cosmos,Pulitzer Prize,Ph.D. in Physics,Foundation of classical mechanics
Ada Lovelace,USA,Physics,172,Electromagnetic Theory,1907,Male,A Brief History of Time,N/A,University of Pisa,Major advancements in astronomy
Marie Curie,USA,Mathematics,135,Wave Equation,1957,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Ada Lovelace,USA,Chemistry,195,Quantum Mechanics,1958,Female,Research on radioactivity,Nobel Prize,Ph.D.,Pioneering research in radioactivity
Niels Bohr,USA,Engineering,155,Theory of Relativity,1929,Female,Feynman Lectures,Pulitzer Prize,Ph.D. in Astronomy,Wave mechanics in quantum physics
Roger Penrose,Denmark,Physics,134,Heliocentric Theory,1902,Male,On the Origin of Species,Nobel Prize,Ph.D. in Mathematics,Penrose's work on black holes and cosmology
Alan Turing,USA,Astronomy,176,Laws of Motion,1967,Female,On the Origin of Species,Numerous Honors,Ph.D. in Physics,Inventor and electrical engineering pioneer
James Clerk Maxwell,USA,Physics,134,General Theory of Relativity,1901,Male,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Major advancements in astronomy
Albert Einstein,UK,Biology,138,Black Hole Theory,1983,Male,Feynman Lectures,Royal Medal,Self-taught,Wave mechanics in quantum physics
Michael Faraday,UK,Physics,199,Black Hole Theory,1992,Female,Schrödinger Equation,Royal Medal,Self-taught,Penrose's work on black holes and cosmology
James Clerk Maxwell,Italy,Biology,144,Cosmos Series,1928,Female,Various Patents,N/A,Ph.D. in Mathematics,Discovery of electromagnetic induction
Leonardo da Vinci,UK,Physics,173,Quantum Electrodynamics,1907,Female,E=mc²,Nobel Prize,Ph.D.,Foundational work in quantum mechanics
Richard Feynman,UK,Physics,166,General Theory of Relativity,1964,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Self-taught,Developed quantum theory
Max Planck,Italy,Chemistry,130,Quantum Mechanics,1999,Male,Notes on the Analytical Engine,Pulitzer Prize,Ph.D. in Astronomy,Developed quantum theory
Alan Turing,UK,Physics,131,Theory of Relativity,1939,Male,Fermi Paradox,N/A,Ph.D. in Physics,Evolutionary biology pioneer
Paul Dirac,Austria,Polymath,137,"AC Electricity, Tesla Coil",1987,Male,Bohr Model,Nobel Prize,University of Cambridge,Pioneering research in radioactivity
Charles Darwin,UK,Physics,198,Heliocentric Theory,1914,Female,On Computable Numbers,Numerous Honors,Ph.D. in Physics,Foundational work in quantum mechanics
Ada Lovelace,UK,Physics,199,Discovery of Radium and Polonium,1921,Male,Fermi Paradox,Numerous Posthumous,Ph.D. (honorary),Revolutionized modern physics
James Clerk Maxwell,UK,Physics,137,Theory of Relativity,1937,Male,Vitruvian Man,Numerous Honors,Ph.D. in Physics,Evolutionary biology pioneer
Ada Lovelace,UK,Physics,166,Quantum Theory,1952,Female,Research on radioactivity,N/A,Ph.D. in Physics,Penrose's work on black holes and cosmology
Michael Faraday,UK,Physics,191,"Mona Lisa, The Last Supper, Inventions",1908,Female,Theory of Electromagnetism,Nobel Prize,Ph.D.,Quantum electrodynamics and physics teaching
Erwin Schrödinger,UK,Astronomy,162,Father of Computer Science,1998,Male,On the Origin of Species,Pulitzer Prize,Ph.D. in Mathematics,Foundational work in quantum mechanics
Niels Bohr,UK,Physics,177,Wave Equation,1937,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Foundation of classical mechanics
Charles Darwin,Italy,Astronomy,156,Laws of Motion,1905,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. (honorary),Penrose's work on black holes and cosmology
Ada Lovelace,USA,Mathematics,132,"AC Electricity, Tesla Coil",1932,Female,Quantum Theory,Royal Medal,University of Cambridge,Laid the groundwork for modern computing
Erwin Schrödinger,USA,Polymath,170,"Mona Lisa, The Last Supper, Inventions",1962,Female,Cosmos,Nobel Prize,Ph.D.,Laid the groundwork for modern computing
Carl Sagan,Denmark,Engineering,147,"Mona Lisa, The Last Supper, Inventions",1956,Female,Schrödinger Equation,Nobel Prize,Ph.D. in Physics,Evolutionary biology pioneer
Paul Dirac,UK,Physics,183,Cosmos Series,1994,Female,Notes on the Analytical Engine,N/A,Ph.D. (honorary),Contributions to cosmology and quantum gravity
Nikola Tesla,UK,Physics,148,Cosmos Series,1900,Female,Discovery of Electromagnetic Induction,Pulitzer Prize,Ph.D.,Penrose's work on black holes and cosmology
Nikola Tesla,UK,Physics,190,Wave Equation,1923,Male,Feynman Lectures,Nobel Prize,Ph.D. in Mathematics,Foundation of classical mechanics
Michael Faraday,USA,Physics,153,Electromagnetic Theory,1942,Male,Schrödinger Equation,Pulitzer Prize,Ph.D. in Mathematics,Contributions to cosmology and quantum gravity
Marie Curie,UK,Physics,171,Quantum Theory,1933,Female,Dirac Equation,Nobel Prize,Ph.D. in Physics,Discovery of electromagnetic induction
Marie Curie,USA,Physics,160,Quantum Mechanics,1938,Female,On the Origin of Species,N/A,Ph.D.,Contributions to cosmology and quantum gravity
Michael Faraday,UK,Polymath,146,First computer algorithm,1913,Female,Various Patents,N/A,Ph.D. in Mathematics,Laid the groundwork for modern computing
Michael Faraday,UK,Physics,138,Quantum Mechanics,1941,Female,Research on radioactivity,Nobel Prize,Ph.D. in Chemistry,Inventor and electrical engineering pioneer
Paul Dirac,France,Mathematics,138,First computer algorithm,1996,Female,Dirac Equation,Royal Medal,Self-taught,Foundational work in quantum mechanics
James Clerk Maxwell,UK,Mathematics,154,Theory of Relativity,1927,Female,Various Patents,N/A,Ph.D. in Physics,Popularizing science and cosmology
Stephen Hawking,UK,Mathematics,161,First computer algorithm,1945,Male,On Computable Numbers,Nobel Prize,Ph.D. in Chemistry,Nuclear physics and reactor development
Niels Bohr,Austria,Physics,170,First computer algorithm,1927,Male,Vitruvian Man,Royal Medal,Ph.D. in Physics,Evolutionary biology pioneer
Michael Faraday,UK,Physics,143,Father of Computer Science,1952,Female,On Computable Numbers,N/A,Ph.D. in Astronomy,Early pioneer of computer science
Roger Penrose,Italy,Polymath,194,Theory of Evolution,1943,Female,Bohr Model,Nobel Prize,Ph.D. in Chemistry,Laid the groundwork for modern computing
Albert Einstein,Germany,Chemistry,185,Father of Computer Science,1937,Male,A Brief History of Time,Copley Medal,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Enrico Fermi,UK,Physics,179,Nuclear Reactor,1960,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Chemistry,Pioneering research in radioactivity
Alan Turing,UK,Physics,158,Nuclear Reactor,1913,Male,Dirac Equation,Nobel Prize,Self-taught,Developed quantum theory
Albert Einstein,France,Physics,188,Black Hole Theory,1919,Female,Fermi Paradox,Nobel Prize,University of Cambridge,Wave mechanics in quantum physics
Isaac Newton,UK,Polymath,157,Nuclear Reactor,1907,Female,Fermi Paradox,Nobel Prize,Self-taught,Revolutionized modern physics
Enrico Fermi,Austria,Mathematics,164,"Mona Lisa, The Last Supper, Inventions",1946,Female,Bohr Model,Nobel Prize,Ph.D. (honorary),Evolutionary biology pioneer
Galileo Galilei,Austria,Physics,150,"AC Electricity, Tesla Coil",1956,Female,On the Origin of Species,Nobel Prize,Ph.D. in Mathematics,Laid the groundwork for modern computing
Stephen Hawking,UK,Polymath,140,Father of Computer Science,1953,Male,Research on radioactivity,Two Nobel Prizes,Ph.D. in Chemistry,Pioneering research in radioactivity
Niels Bohr,Denmark,Mathematics,163,Heliocentric Theory,1979,Male,A Brief History of Time,N/A,Ph.D. in Mathematics,Developed quantum theory
Galileo Galilei,USA,Astronomy,165,Discovery of Radium and Polonium,1923,Male,Quantum Theory,N/A,University of Pisa,Revolutionized modern physics
Charles Darwin,UK,Mathematics,171,"Mona Lisa, The Last Supper, Inventions",1931,Female,Research on radioactivity,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Isaac Newton,UK,Mathematics,138,"AC Electricity, Tesla Coil",1974,Female,Various Patents,N/A,Ph.D. in Chemistry,Discovery of electromagnetic induction
